brewery_name,review_time,review_overall,review_aroma,review_profilename,beer_style,review_taste,beer_name,beer_beerid
Amstel Brouwerij B. V.,1.010963392E9,3.0,2.0,fodeeoz,Light Lager,2.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.010861086E9,2.5,3.0,jdhilt,Light Lager,2.0,Amstel Light,436.0
Caldera Brewing Company,1.017782385E9,4.5,4.0,venneman,German Pilsener,4.5,Caldera Pilsener Bier,3274.0
Moon River Brewing Company,1.025548668E9,4.0,3.5,tigerpaws,Belgian Pale Ale,4.0,Inspiration Ale,2724.0
Amstel Brouwerij B. V.,1.01698239E9,2.5,3.0,WilliamPhilaPa,Light Lager,2.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.039810604E9,3.0,3.0,elmocoso,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.037595567E9,2.0,1.5,ipogios,Light Lager,1.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.03635851E9,2.5,3.0,ElGuapo,Light Lager,2.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.033670253E9,3.5,3.0,NeroFiddled,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.033547618E9,1.5,1.5,Dogbrick,Light Lager,1.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.031897977E9,2.0,1.5,yen157,Light Lager,1.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.027191446E9,3.0,1.0,BeerAngel,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.025445614E9,4.0,3.5,EagleTalon,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.025324849E9,3.0,2.5,goindownsouth,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.016440876E9,3.0,2.5,proc,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.02330287E9,3.5,3.5,marc77,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.023270631E9,4.0,4.0,fdoosey,Light Lager,4.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.022784539E9,2.5,1.5,StevieW,Light Lager,1.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.022615698E9,2.5,4.0,garymuchow,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.022566221E9,2.5,2.5,psugrad98,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.02217082E9,3.0,2.0,Wildman,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.022112001E9,2.5,1.5,Monk11,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.021386943E9,2.0,1.0,BobLuvBeer,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.020954613E9,1.0,1.5,aracauna,Light Lager,1.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.020844823E9,3.0,3.0,frank4sail,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.020197277E9,2.5,1.0,Jason,Light Lager,1.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.018805847E9,2.5,2.5,IrishRedRock,Light Lager,2.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.018645748E9,2.5,2.0,jackndan,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.024089633E9,4.0,3.0,javajeep1972,Euro Pale Lager,3.5,Amstel Bright,3386.0
Amstel Brouwerij B. V.,1.018885343E9,4.5,3.5,KingSpank,Euro Pale Lager,3.5,Amstel Bright,3386.0
Amstel Brouwerij B. V.,1.037424391E9,2.0,2.0,ipogios,Euro Pale Lager,2.5,Amstel Lager,1414.0
