brewery_name,review_time,review_overall,review_aroma,review_profilename,beer_style,review_taste,beer_name,beer_beerid
Caldera Brewing Company,1.113805689E9,3.5,3.5,Thrasher,American Porter,3.0,Pilot Rock Porter,10788.0
Caldera Brewing Company,1.106529693E9,4.5,4.5,Valevapor,American Amber / Red Ale,4.5,Dry Hop Red,10786.0
Caldera Brewing Company,1.111803322E9,4.0,4.0,unklesyd,American Amber / Red Ale,4.5,Dry Hop Red,10786.0
Moon River Brewing Company,1.11073611E9,3.5,4.0,cMonkey,Scotch Ale / Wee Heavy,3.5,The Highland Stagger,20689.0
Caldera Brewing Company,1.111791303E9,4.0,4.0,bootylicious,American IPA,4.0,Caldera IPA,10784.0
Caldera Brewing Company,1.109005792E9,3.5,4.0,Redrover,American IPA,4.0,Caldera IPA,10784.0
Caldera Brewing Company,1.114161035E9,3.5,3.5,charlatan,American Amber / Red Ale,3.5,Dry Hop Orange,23290.0
Caldera Brewing Company,1.112670229E9,3.5,3.5,KoG,American Amber / Red Ale,3.5,Ashland Amber,10785.0
Caldera Brewing Company,1.105475593E9,4.0,3.5,Crotor,American Amber / Red Ale,4.0,Ashland Amber,10785.0
Amstel Brouwerij B. V.,1.117350355E9,2.5,3.0,whynot44,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.116981213E9,2.0,2.0,naf,Light Lager,1.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.115863581E9,4.0,2.0,rousee,Light Lager,3.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.114643634E9,4.0,2.5,GCBrewingCo,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.105366113E9,3.0,2.5,paterlodie,Light Lager,2.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.114633958E9,4.0,2.0,ski271,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.112840376E9,5.0,3.0,samsneed,Light Lager,4.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.112029328E9,2.5,1.5,Vancer,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.111539398E9,5.0,2.0,sinkr,Light Lager,4.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.111387301E9,2.0,1.5,Luigi,Light Lager,1.5,Amstel Light,436.0
Amstel Brouwerij B. V.,1.110757697E9,2.0,2.0,MoeSizlak,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.109818179E9,3.5,3.5,yeagerbm,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.109306037E9,4.0,3.0,BigRedN,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.106680634E9,2.0,1.5,euskera,Light Lager,1.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.106451521E9,4.0,3.0,TheDeuce,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.105153823E9,2.0,2.0,HardTarget,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.105078105E9,3.5,2.5,crookedhalo,Light Lager,3.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.10469066E9,2.5,1.5,NEhophead,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.110868341E9,4.0,3.5,vladimerjr,Euro Pale Lager,4.0,Amstel Bright,3386.0
"Clockwork Beer Co, The",1.114373506E9,3.5,4.0,foamer,English India Pale Ale (IPA),3.5,Amber IPA,23326.0
"Clockwork Beer Co, The",1.114374291E9,3.5,3.0,foamer,Euro Pale Lager,3.5,Original Lager,23329.0
"Clockwork Beer Co, The",1.114542418E9,4.0,4.0,BSF,Altbier,3.5,Red Alt Ale,23328.0
"Clockwork Beer Co, The",1.114373972E9,4.0,3.5,foamer,Altbier,4.0,Red Alt Ale,23328.0
